question,answer
What is the business name?,NovaTech Solutions Ltd.
What industry does the company operate in?,Information Technology Services.
What type of business is it?,Private Limited Company.
When was the company founded?,2018.
What is the registration number?,NT-4587219.
What is the tax ID?,TAX-99384756.
What is the company website?,www.novatechsolutions.com.
What is the contact email?,contact@novatechsolutions.com.
What is the phone number?,+1-415-555-7823.
What is the street address?,245 Market Street.
What city is the business located in?,San Francisco.
What state is the business located in?,California.
What is the zip code?,94105.
What country is the business located in?,United States.
Who is the CEO?,Sarah Mitchell.
How many employees does the company have?,42.
What is the annual revenue?,"$4,750,000."
What is the primary service?,AI Software Development.
What is the secondary service?,Cloud Infrastructure Consulting.
What are the operating regions?,North America and Europe.
